발생일시,진화일시,주소,진행상태,대응단계
2024-12-11 06:04,2024-12-11 06:35,충청북도 단양군 단양읍,진화완료,초기대응
2024-12-10 17:33,2024-12-10 18:15,경상북도 영주시 이산면,진화완료,초기대응
2024-12-10 11:54,2024-12-10 13:38,경상북도 영양군 청기면,진화완료,초기대응
2024-12-10 11:48,2024-12-10 13:10,경상북도 울진군 북면,진화완료,초기대응
2024-12-09 12:30,2024-12-09 13:30,전라남도 구례군 마산면,진화완료,초기대응
2024-12-07 16:17,2024-12-07 16:42,경상북도 구미시 형곡동,진화완료,초기대응
2024-12-06 14:33,2024-12-06 15:20,경상북도 울진군 온정면,진화완료,초기대응
2024-12-04 16:54,2024-12-04 18:05,인천광역시 서구 대곡동,진화완료,초기대응
2024-11-24 15:54,2024-11-24 16:35,경기도 시흥시 신천동,진화완료,초기대응
2024-11-24 15:44,2024-11-24 17:31,인천광역시 강화군 삼산면,진화완료,초기대응
2024-11-24 13:35,2024-11-24 14:13,경기도 용인시처인구 모현읍,진화완료,초기대응
